"성별","국적별",2023.08 p),2023.08 p),2023.08 p),2023.08 p),2023.09 p),2023.09 p),2023.09 p),2023.09 p),2023.10 p),2023.10 p),2023.10 p),2023.10 p),2021,2021,2021,2021,2022,2022,2022,2022
"성별","국적별",총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동
"계","말라위",10,9,1,8,2,0,2,-2,1,0,1,-1,26,11,15,-4,40,28,12,16
"계","말리",3,1,2,-1,3,3,0,3,6,0,6,-6,31,11,20,-9,98,67,31,36
"계","모리타니",1,1,0,1,-,-,-,-,-,-,-,-,8,6,2,4,3,1,2,-1
"계","모리셔스",1,1,0,1,3,2,1,1,-,-,-,-,15,6,9,-3,21,16,5,11
"계","모로코",88,70,18,52,50,29,21,8,51,25,26,-1,452,244,208,36,800,508,292,216
"계","모잠비크",4,2,2,0,2,2,0,2,-,-,-,-,100,51,49,2,54,23,31,-8
"계","나미비아",-,-,-,-,1,1,0,1,-,-,-,-,2,1,1,0,2,1,1,0
"계","니제르",-,-,-,-,1,1,0,1,1,1,0,1,1,0,1,-1,-,-,-,-
"계","나이지리아",94,64,30,34,62,33,29,4,19,6,13,-7,556,276,280,-4,678,347,331,16
"계","짐바브웨",18,12,6,6,3,1,2,-1,2,1,1,0,49,27,22,5,39,21,18,3
"계","르완다",49,45,4,41,21,14,7,7,8,5,3,2,122,71,51,20,212,151,61,90
"계","세네갈",14,12,2,10,2,1,1,0,9,8,1,7,64,17,47,-30,60,30,30,0
"계","세이쉘",1,0,1,-1,-,-,-,-,-,-,-,-,1,0,1,-1,-,-,-,-
"계","시에라리온",9,8,1,7,3,1,2,-1,2,0,2,-2,28,17,11,6,12,10,2,8
"계","소말리아",7,5,2,3,-,-,-,-,-,-,-,-,18,9,9,0,19,10,9,1
"계","남아프리카공화국",320,200,120,80,177,101,76,25,124,80,44,36,892,467,425,42,1973,1376,597,779
"계","수단",9,5,4,1,7,3,4,-1,9,6,3,3,113,54,59,-5,147,87,60,27
"계","스와질랜드",1,1,0,1,-,-,-,-,-,-,-,-,3,2,1,1,6,3,3,0
"계","남수단공화국",4,4,0,4,2,1,1,0,-,-,-,-,4,4,0,4,5,4,1,3
"계","탄자니아",64,52,12,40,24,19,5,14,14,9,5,4,145,87,58,29,301,221,80,141
"계","토고",2,1,1,0,-,-,-,-,-,-,-,-,9,3,6,-3,15,5,10,-5
"계","튀니지",43,33,10,23,59,49,10,39,68,62,6,56,88,42,46,-4,179,135,44,91
"계","우간다",51,43,8,35,7,3,4,-1,26,13,13,0,148,68,80,-12,211,141,70,71
"계","부르키나파소",4,4,0,4,2,1,1,0,3,1,2,-1,9,4,5,-1,18,8,10,-2
"계","잠비아",12,9,3,6,8,4,4,0,-,-,-,-,27,13,14,-1,42,22,20,2
"계","무국적",3,2,1,1,1,1,0,1,-,-,-,-,9,6,3,3,45,40,5,35
"계","국제연합",1,0,1,-1,-,-,-,-,2,2,0,2,18,6,12,-6,17,8,9,-1
"계","미상",1,0,1,-1,-,-,-,-,3,1,2,-1,26,10,16,-6,34,9,25,-16
"남자","합계",44396,30764,13632,17132,36099,24168,11931,12237,31355,18095,13260,4835,252927,107806,145121,-37315,361202,229897,131305,98592
"남자","아프가니스탄",21,15,6,9,10,6,4,2,7,4,3,1,373,310,63,247,123,71,52,19
"남자","바레인",-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,-1,1,1,0,1
"남자","방글라데시",606,484,122,362,615,463,152,311,459,296,163,133,2143,632,1511,-879,8276,6575,1701,4874
"남자","부탄",4,0,4,-4,-,-,-,-,-,-,-,-,9,7,2,5,15,6,9,-3
"남자","브루나이",15,14,1,13,-,-,-,-,-,-,-,-,7,6,1,5,72,39,33,6
"남자","미얀마",1688,1480,208,1272,1237,1055,182,873,965,592,373,219,3002,837,2165,-1328,11189,8686,2503,6183
"남자","캄보디아",1385,954,431,523,1172,938,234,704,1355,1000,355,645,6050,3006,3044,-38,11789,8111,3678,4433
"남자","스리랑카",799,583,216,367,1006,862,144,718,688,482,206,276,5004,1309,3695,-2386,10308,7301,3007,4294
"남자","중국",12352,8300,4052,4248,10210,6720,3490,3230,9099,6019,3080,2939,106940,47827,59113,-11286,79395,44207,35188,9019
"남자","타이완",115,72,43,29,58,31,27,4,56,24,32,-8,878,439,439,0,737,370,367,3
"남자","키프러스",1,1,0,1,-,-,-,-,1,0,1,-1,11,2,9,-7,6,3,3,0
"남자","홍콩",40,29,11,18,13,7,6,1,11,8,3,5,288,137,151,-14,295,149,146,3
"남자","인도",462,274,188,86,417,268,149,119,499,292,207,85,3187,1590,1597,-7,4847,2952,1895,1057
"남자","인도네시아",2400,2005,395,1610,902,568,334,234,972,657,315,342,7144,2156,4988,-2832,19555,14671,4884,9787
"남자","이란",37,17,20,-3,22,14,8,6,16,10,6,4,184,98,86,12,261,132,129,3
"남자","이라크",22,16,6,10,17,11,6,5,8,4,4,0,307,180,127,53,258,136,122,14
"남자","이스라엘",7,6,1,5,7,2,5,-3,6,3,3,0,54,25,29,-4,40,21,19,2
"남자","일본",275,179,96,83,187,78,109,-31,123,56,67,-11,2614,1276,1338,-62,2381,1087,1294,-207
"남자","요르단",19,8,11,-3,20,16,4,12,16,8,8,0,155,77,78,-1,157,94,63,31
"남자","카자흐스탄",999,581,418,163,915,616,299,317,690,348,342,6,5880,2861,3019,-158,12083,9519,2564,6955
"남자","키르기스스탄",263,179,84,95,247,167,80,87,183,94,89,5,1445,787,658,129,2616,1988,628,1360
"남자","쿠웨이트",2,2,0,2,4,2,2,0,3,2,1,1,16,10,6,4,17,7,10,-3
"남자","라오스",335,189,146,43,194,116,78,38,404,151,253,-102,310,186,124,62,1110,877,233,644
"남자","레바논",2,2,0,2,1,0,1,-1,3,2,1,1,11,5,6,-1,19,4,15,-11
"남자","마카오",1,1,0,1,4,4,0,4,1,0,1,-1,16,8,8,0,14,9,5,4
"남자","말레이시아",333,250,83,167,220,177,43,134,203,145,58,87,1079,242,837,-595,1636,886,750,136
"남자","몰디브",-,-,-,-,1,1,0,1,-,-,-,-,5,2,3,-1,-,-,-,-
"남자","몽골",932,494,438,56,981,643,338,305,488,222,266,-44,6788,1591,5197,-3606,7632,5164,2468,2696
"남자","네팔",2397,2201,196,2005,950,701,249,452,601,318,283,35,4371,716,3655,-2939,18018,13525,4493,9032
"남자","오만",6,5,1,4,-,-,-,-,1,1,0,1,10,6,4,2,22,15,7,8
"남자","파키스탄",368,259,109,150,344,234,110,124,297,144,153,-9,2327,808,1519,-711,4646,3112,1534,1578
"남자","팔레스타인",3,2,1,1,3,1,2,-1,-,-,-,-,44,23,21,2,30,20,10,10
"남자","필리핀",1762,958,804,154,1885,764,1121,-357,2333,885,1448,-563,3765,787,2978,-2191,15098,9921,5177,4744
"남자","티모르민주공화국",113,97,16,81,104,85,19,66,81,47,34,13,426,291,135,156,1412,1221,191,1030
"남자","카타르",1,0,1,-1,-,-,-,-,3,1,2,-1,10,6,4,2,11,6,5,1
"남자","사우디아라비아",74,56,18,38,28,11,17,-6,13,5,8,-3,572,281,291,-10,402,194,208,-14
"남자","싱가포르",81,75,6,69,15,11,4,7,15,6,9,-3,205,111,94,17,392,188,204,-16
"남자","시리아",46,33,13,20,23,15,8,7,39,23,16,7,153,39,114,-75,407,214,193,21
"남자","타지키스탄",82,41,41,0,60,35,25,10,58,36,22,14,1060,631,429,202,1309,723,586,137
"남자","태국",1997,899,1098,-199,2117,1099,1018,81,2155,1024,1131,-107,9538,2771,6767,-3996,22161,13744,8417,5327
"남자","튀르키예",159,83,76,7,180,122,58,64,118,58,60,-2,336,133,203,-70,2016,1704,312,1392
"남자","투르크메니스탄",29,22,7,15,35,32,3,29,22,17,5,12,21,4,17,-13,118,96,22,74
"남자","아랍에미리트연합",64,30,34,-4,39,16,23,-7,32,11,21,-10,293,199,94,105,564,304,260,44
"남자","우즈베키스탄",1920,1119,801,318,2569,1884,685,1199,1431,718,713,5,15062,7812,7250,562,22918,15060,7858,7202
"남자","베트남",5103,3745,1358,2387,4418,3238,1180,2058,3952,2114,1838,276,17392,7928,9464,-1536,44937,28030,16907,11123
"남자","예멘공화국",35,25,10,15,32,20,12,8,30,16,14,2,128,44,84,-40,410,206,204,2
"남자","아르헨티나",8,3,5,-2,8,7,1,6,3,2,1,1,68,39,29,10,99,60,39,21
"남자","바하마",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,2,-1
"남자","바베이도스",-,-,-,-,1,0,1,-1,-,-,-,-,1,1,0,1,3,1,2,-1
"남자","벨리즈",-,-,-,-,-,-,-,-,-,-,-,-,6,3,3,0,1,0,1,-1
"남자","볼리비아",4,4,0,4,1,1,0,1,-,-,-,-,15,8,7,1,9,3,6,-3
"남자","브라질",57,38,19,19,33,17,16,1,39,9,30,-21,353,196,157,39,414,242,172,70
"남자","캐나다",359,219,140,79,348,204,144,60,313,194,119,75,3092,1336,1756,-420,4133,2186,1947,239
"남자","칠레",13,8,5,3,4,4,0,4,2,0,2,-2,44,22,22,0,69,38,31,7
"남자","콜롬비아",17,12,5,7,5,2,3,-1,4,3,1,2,100,56,44,12,106,54,52,2
